,BALBOA LAKE MGD,J GARDEN MGD,WILDLIFE LAKE MGD,SOUTH CHANNEL WEIR MGD,Datetime
0,88018.53125,-2642806.0,593839.25,8487831.0,2017-10-01 00:00:00
1,88012.26563,-2642618.0,593797.0,8487217.0,2017-10-01 01:00:00
2,88005.98438,-2642430.5,593754.875,8486602.0,2017-10-01 02:00:00
3,87999.71875,-2642242.5,593712.625,8485988.0,2017-10-01 03:00:00
4,87993.4375,-2642055.0,593670.375,8485374.0,2017-10-01 04:00:00
5,87987.17188,-2641867.0,593628.25,8484760.0,2017-10-01 05:00:00
6,87980.89063,-2641679.5,593586.0,8484146.0,2017-10-01 06:00:00
7,87974.625,-2641491.5,593543.875,8483532.0,2017-10-01 07:00:00
8,87968.34375,-2641304.0,593501.625,8482918.0,2017-10-01 08:00:00
9,87962.07813,-2641116.0,593459.5,8482303.0,2017-10-01 09:00:00
10,87955.79688,-2640928.0,593417.25,8481689.0,2017-10-01 10:00:00
11,87949.53125,-2640740.5,593375.125,8481075.0,2017-10-01 11:00:00
12,87943.25,-2640552.5,593332.875,8480461.0,2017-10-01 12:00:00
13,87936.98438,-2640365.0,593290.625,8479847.0,2017-10-01 13:00:00
14,87930.70313,-2640177.0,593248.5,8479233.0,2017-10-01 14:00:00
15,87924.4375,-2639989.5,593206.25,8478618.0,2017-10-01 15:00:00
16,87918.15625,-2639801.5,593164.125,8478004.0,2017-10-01 16:00:00
17,87911.89063,-2639614.0,593121.875,8477390.0,2017-10-01 17:00:00
18,87905.60938,-2639426.0,593079.75,8476776.0,2017-10-01 18:00:00
19,87899.34375,-2639238.0,593037.5,8476162.0,2017-10-01 19:00:00
20,87893.0625,-2639050.5,592995.375,8475548.0,2017-10-01 20:00:00
21,87886.79688,-2638862.5,592953.125,8474934.0,2017-10-01 21:00:00
22,87880.51563,-2638675.0,592911.0,8474319.0,2017-10-01 22:00:00
23,87874.25,-2638487.0,592868.75,8473705.0,2017-10-01 23:00:00
24,87867.96875,-2638299.5,592826.5,8473091.0,2017-10-02 00:00:00
25,87861.70313,-2638111.5,592784.375,8472477.0,2017-10-02 01:00:00
26,87855.42188,-2637924.0,592742.125,8471863.0,2017-10-02 02:00:00
27,87849.15625,-2637736.0,592700.0,8471249.0,2017-10-02 03:00:00
28,87842.875,-2637548.0,592657.75,8470634.0,2017-10-02 04:00:00
29,87836.60938,-2637360.5,592615.625,8470020.0,2017-10-02 05:00:00
30,87830.32813,-2637172.5,592573.375,8469406.0,2017-10-02 06:00:00
31,87824.0625,-2636985.0,592531.25,8468792.0,2017-10-02 07:00:00
32,87817.78125,-2636797.0,592489.0,8468178.0,2017-10-02 08:00:00
33,87811.51563,-2636609.5,592446.875,8467564.0,2017-10-02 09:00:00
34,87805.23438,-2636421.5,592404.625,8466950.0,2017-10-02 10:00:00
35,87798.96875,-2636233.5,592362.375,8466335.0,2017-10-02 11:00:00
36,87792.6875,-2636046.0,592320.25,8465721.0,2017-10-02 12:00:00
37,87786.42188,-2635858.0,592278.0,8465107.0,2017-10-02 13:00:00
38,87780.14063,-2635670.5,592235.875,8464493.0,2017-10-02 14:00:00
39,87773.875,-2635482.5,592193.625,8463879.0,2017-10-02 15:00:00
40,87767.59375,-2635295.0,592151.5,8463265.0,2017-10-02 16:00:00
41,87761.32813,-2635107.0,592109.25,8462650.0,2017-10-02 17:00:00
42,87755.04688,-2634919.5,592067.125,8462036.0,2017-10-02 18:00:00
43,87748.78125,-2634731.5,592024.875,8461422.0,2017-10-02 19:00:00
44,87742.5,-2634543.5,591982.75,8460808.0,2017-10-02 20:00:00
45,87736.23438,-2634356.0,591940.5,8460194.0,2017-10-02 21:00:00
46,87729.95313,-2634168.0,591898.25,8459580.0,2017-10-02 22:00:00
47,87723.6875,-2633980.5,591856.125,8458966.0,2017-10-02 23:00:00
48,87717.40625,-2633792.5,591813.875,8458351.0,2017-10-03 00:00:00
49,87711.14063,-2633605.0,591771.75,8457737.0,2017-10-03 01:00:00
50,87704.85938,-2633417.0,591729.5,8457123.0,2017-10-03 02:00:00
51,87698.59375,-2633229.5,591687.375,8456509.0,2017-10-03 03:00:00
52,87692.3125,-2633041.5,591645.125,8455895.0,2017-10-03 04:00:00
53,87686.04688,-2632853.5,591603.0,8455281.0,2017-10-03 05:00:00
54,87679.76563,-2632666.0,591560.75,8454666.0,2017-10-03 06:00:00
55,87673.5,-2632478.0,591518.5,8454052.0,2017-10-03 07:00:00
56,87667.21875,-2632290.5,591476.375,8453438.0,2017-10-03 08:00:00
57,87660.95313,-2632102.5,591434.125,8452824.0,2017-10-03 09:00:00
58,87654.67188,-2631915.0,591392.0,8452210.0,2017-10-03 10:00:00
59,87648.40625,-2631727.0,591349.75,8451596.0,2017-10-03 11:00:00
60,87642.125,-2631539.5,591307.625,8450982.0,2017-10-03 12:00:00
61,87635.85938,-2631351.5,591265.375,8450367.0,2017-10-03 13:00:00
62,87629.57813,-2631163.5,591223.25,8449753.0,2017-10-03 14:00:00
63,87623.3125,-2630976.0,591181.0,8449139.0,2017-10-03 15:00:00
64,87617.03125,-2630788.0,591138.875,8448525.0,2017-10-03 16:00:00
65,87610.76563,-2630600.5,591096.625,8447911.0,2017-10-03 17:00:00
66,87604.48438,-2630412.5,591054.375,8447297.0,2017-10-03 18:00:00
67,87598.21875,-2630225.0,591012.25,8446682.0,2017-10-03 19:00:00
68,87591.9375,-2630037.0,590970.0,8446068.0,2017-10-03 20:00:00
69,87585.67188,-2629849.5,590927.875,8445454.0,2017-10-03 21:00:00
70,87579.39063,-2629661.5,590885.625,8444840.0,2017-10-03 22:00:00
71,87573.125,-2629473.5,590843.5,8444226.0,2017-10-03 23:00:00
72,87566.84375,-2629286.0,590801.25,8443612.0,2017-10-04 00:00:00
73,87560.57813,-2629098.0,590759.125,8442998.0,2017-10-04 01:00:00
74,87554.29688,-2628910.5,590716.875,8442383.0,2017-10-04 02:00:00
75,87548.03125,-2628722.5,590674.75,8441769.0,2017-10-04 03:00:00
76,87541.75,-2628535.0,590632.5,8441155.0,2017-10-04 04:00:00
77,87535.48438,-2628347.0,590590.25,8440541.0,2017-10-04 05:00:00
78,87529.20313,-2628159.5,590548.125,8439927.0,2017-10-04 06:00:00
79,87522.9375,-2627971.5,590505.875,8439313.0,2017-10-04 07:00:00
80,87516.65625,-2627783.5,590463.75,8438698.0,2017-10-04 08:00:00
81,87510.39063,-2627596.0,590421.5,8438084.0,2017-10-04 09:00:00
82,87504.10938,-2627408.0,590379.375,8437470.0,2017-10-04 10:00:00
83,87497.84375,-2627220.5,590337.125,8436856.0,2017-10-04 11:00:00
84,87491.5625,-2627032.5,590295.0,8436242.0,2017-10-04 12:00:00
85,87485.29688,-2626845.0,590252.75,8435628.0,2017-10-04 13:00:00
86,87479.01563,-2626657.0,590210.5,8435014.0,2017-10-04 14:00:00
87,87472.75,-2626469.5,590168.375,8434399.0,2017-10-04 15:00:00
88,87466.46875,-2626281.5,590126.125,8433785.0,2017-10-04 16:00:00
89,87460.20313,-2626093.5,590084.0,8433171.0,2017-10-04 17:00:00
90,87453.92188,-2625906.0,590041.75,8432557.0,2017-10-04 18:00:00
91,87447.65625,-2625718.0,589999.625,8431943.0,2017-10-04 19:00:00
92,87441.375,-2625530.5,589957.375,8431329.0,2017-10-04 20:00:00
93,87435.10938,-2625342.5,589915.25,8430715.0,2017-10-04 21:00:00
94,87428.82813,-2625155.0,589873.0,8430100.0,2017-10-04 22:00:00
95,87422.5625,-2624967.0,589830.875,8429486.0,2017-10-04 23:00:00
96,87416.29688,-2624779.0,589788.625,8428872.0,2017-10-05 00:00:00
97,87410.01563,-2624591.5,589746.375,8428258.0,2017-10-05 01:00:00
98,87403.75,-2624403.5,589704.25,8427644.0,2017-10-05 02:00:00
99,87397.46875,-2624216.0,589662.0,8427030.0,2017-10-05 03:00:00
100,87391.20313,-2624028.0,589619.875,8426415.0,2017-10-05 04:00:00
101,87384.92188,-2623840.5,589577.625,8425801.0,2017-10-05 05:00:00
102,87378.65625,-2623652.5,589535.5,8425187.0,2017-10-05 06:00:00
