,Datetime,Measurement
2024-09-23 19:00:00,,
2025-07-23 09:40:00,2025-07-23 09:40:00,115.9055118111488
2025-07-23 09:45:00,2025-07-23 09:45:00,115.9055118111488
2025-07-23 09:50:00,2025-07-23 09:50:00,115.86614173240861
2025-07-23 09:55:00,2025-07-23 09:55:00,115.86614173240861
2025-07-23 10:00:00,2025-07-23 10:00:00,115.8267716536684
2025-07-23 10:05:00,2025-07-23 10:05:00,115.748031496188
2025-07-23 10:10:00,2025-07-23 10:10:00,115.748031496188
2025-07-23 10:15:00,2025-07-23 10:15:00,115.748031496188
2025-07-23 10:20:00,2025-07-23 10:20:00,115.748031496188
2025-07-23 10:25:00,2025-07-23 10:25:00,115.5118110237468
2025-07-23 10:30:00,2025-07-23 10:30:00,115.5905511812272
2025-07-23 10:35:00,2025-07-23 10:35:00,115.5118110237468
2025-07-23 10:40:00,2025-07-23 10:40:00,115.4724409450066
2025-07-23 10:45:00,2025-07-23 10:45:00,115.35433070878601
2025-07-23 10:50:00,2025-07-23 10:50:00,115.3937007875262
2025-07-23 10:55:00,2025-07-23 10:55:00,115.3937007875262
2025-07-23 11:00:00,2025-07-23 11:00:00,115.31496063004579
2025-07-23 11:05:00,2025-07-23 11:05:00,115.35433070878601
2025-07-23 11:10:00,2025-07-23 11:10:00,115.31496063004579
2025-07-23 11:15:00,2025-07-23 11:15:00,115.2755905513056
2025-07-23 11:20:00,2025-07-23 11:20:00,115.31496063004579
2025-07-23 11:25:00,2025-07-23 11:25:00,115.31496063004579
2025-07-23 11:30:00,2025-07-23 11:30:00,115.31496063004579
2025-07-23 11:35:00,2025-07-23 11:35:00,115.31496063004579
2025-07-23 11:40:00,2025-07-23 11:40:00,115.35433070878601
2025-07-23 11:45:00,2025-07-23 11:45:00,115.4724409450066
2025-07-23 11:50:00,2025-07-23 11:50:00,115.4330708662664
2025-07-23 11:55:00,2025-07-23 11:55:00,115.5118110237468
2025-07-23 12:00:00,2025-07-23 12:00:00,115.4724409450066
2025-07-23 12:05:00,2025-07-23 12:05:00,115.551181102487
2025-07-23 12:10:00,2025-07-23 12:10:00,115.4724409450066
2025-07-23 12:15:00,2025-07-23 12:15:00,115.5118110237468
